id,instruction,context,response,category,language,instruction_len_words,response_len_words
99,This is failing in my environment - what's the fix? (JavaScript),"npm ERR! peer dep missing: react@"">=16"", required by react-router-dom@6.4.0","`react-router-dom` needs `react` version 16 or higher as a peer dependency but it isn't installed (or an incompatible version is). Run `npm install react@^18 react-dom@^18`, or if using npm 7+, re-run `npm install` since it usually auto-installs compatible peer deps; check `npm ls react` to confirm the resolved version.",Dependency/Environment Issue,JavaScript,11,49
33,I'm seeing this concurrency bug. What's happening and how do I fix it? (Python),"counter = 0
def increment():
 global counter
 for _ in range(100000):
 counter += 1
# run increment() in 2 threads -> counter ends up less than 200000","`counter += 1` is not atomic - it's a read, add, and write, so two threads can interleave and lose updates (a classic race condition). Protect the critical section with a lock:
```python
import threading
lock = threading.Lock()
def increment():
 global counter
 for _ in range(100000):
 with lock:
 counter += 1
```
Or use `threading.local()`/an atomic counter structure, or avoid shared mutable state entirely with multiprocessing + message passing.",Concurrency Debugging,Python,14,69
95,Review this code snippet and correct the bug: (C++),"int* create_array(int size) {
 int arr[size];
 return arr;
}","`arr` is allocated on the stack and is destroyed when the function returns, so the returned pointer becomes a dangling pointer. Allocate on the heap instead (and remember to free/delete it, or prefer `std::vector`):
```cpp
std::vector create_array(int size) {
 return std::vector(size);
}
```",Bug Fix / Code Correction,C++,9,43
53,"What's wrong with this SQL, and how should I fix it? (SQL)",DELETE FROM users WHERE last_login < '2020-01-01',"Without a `WHERE` clause bug this looks fine, but always test destructive statements first with a `SELECT` using the same predicate (`SELECT * FROM users WHERE last_login < '2020-01-01'`) to confirm the row count before running DELETE, and wrap it in a transaction (`BEGIN; ... ; COMMIT;`) so you can `ROLLBACK` if the count looks wrong.",Database/SQL Debugging,SQL,12,56
59,Find and fix the bug in this code: (Python),"def get_config(overrides={}):
 overrides['env'] = 'prod'
 return overrides","Using a mutable default argument (`{}`) is a classic Python bug: the same dict object is reused across every call and keeps accumulating changes. Use `None` as the default and create a new dict inside the function:
```python
def get_config(overrides=None):
 overrides = dict(overrides) if overrides else {}
 overrides['env'] = 'prod'
 return overrides
```",Bug Fix / Code Correction,Python,9,53
72,Review this code snippet and correct the bug: (Python),"def average(nums):
 total = 0
 for n in nums:
 total += n
 return total / len(nums)

print(average([]))","This raises `ZeroDivisionError` when `nums` is empty because `len(nums)` is 0. Fix it by guarding against an empty list:
```python
def average(nums):
 if not nums:
 return 0
 return sum(nums) / len(nums)
```",Bug Fix / Code Correction,Python,9,32
3,Review this code snippet and correct the bug: (Python),"def get_config(overrides={}):
 overrides['env'] = 'prod'
 return overrides","Using a mutable default argument (`{}`) is a classic Python bug: the same dict object is reused across every call and keeps accumulating changes. Use `None` as the default and create a new dict inside the function:
```python
def get_config(overrides=None):
 overrides = dict(overrides) if overrides else {}
 overrides['env'] = 'prod'
 return overrides
```",Bug Fix / Code Correction,Python,9,53
97,Review this code snippet and correct the bug: (Python),"def is_even(n):
 if n % 2 == 1:
 return True
 else:
 return False","The logic is inverted: `n % 2 == 1` is true for odd numbers, not even ones, so the function returns True for odd inputs. Fix: use `n % 2 == 0`, or more simply `return n % 2 == 0`.",Bug Fix / Code Correction,Python,9,41
62,This code runs without crashing but gives the wrong result. Why? (JavaScript),"function isPalindrome(str) {
 return str === str.split('').reverse();
}","`str.split('').reverse()` returns an array, and comparing a string to an array with `===` is always false. Join the reversed array back into a string before comparing: `return str === str.split('').reverse().join('');`",Logic Error Diagnosis,JavaScript,12,30
52,"I'm getting the following error, what's causing it? (Java)","Exception in thread ""main"" java.lang.NullPointerException
 at com.app.Order.getTotal(Order.java:22)","A NullPointerException at that line means an object reference used inside `getTotal()` is null, likely because a field was never initialized or a constructor argument was not set before the method was called. Add a null check, initialize fields with defaults, or trace the call site to see why the object was never assigned.",Error Explanation,Java,9,54
71,Give me guidance on proper exception handling for this case: (Python),How should I handle a file that might not exist when reading a config file?,"Wrap the read in a targeted `try/except FileNotFoundError` rather than a bare `except:` so you don't silently swallow unrelated bugs:
```python
try:
 with open('config.yaml') as f:
 config = yaml.safe_load(f)
except FileNotFoundError:
 config = DEFAULT_CONFIG
 logging.warning('config.yaml not found, using defaults')
```
Log the fallback so the missing file is visible in production, and avoid catching `Exception` broadly since it can hide programming errors like typos in the YAML parser call.",Exception Handling Guidance,Python,11,69
32,I'm running into this environment/dependency issue: (Python),pip install fails with: Could not find a version that satisfies the requirement tensorflow==2.9.0,"This typically means the requested version isn't available for your Python version/platform (e.g. tensorflow 2.9 doesn't ship wheels for very new Python versions), or you're behind a proxy/offline index. Check `python --version` against the package's supported versions, try `pip install tensorflow` without pinning to see what resolves, and confirm `pip config list` doesn't point to a broken/private index.",Dependency/Environment Issue,Python,7,58
34,How do I resolve this setup problem? (Python),pip install fails with: Could not find a version that satisfies the requirement tensorflow==2.9.0,"This typically means the requested version isn't available for your Python version/platform (e.g. tensorflow 2.9 doesn't ship wheels for very new Python versions), or you're behind a proxy/offline index. Check `python --version` against the package's supported versions, try `pip install tensorflow` without pinning to see what resolves, and confirm `pip config list` doesn't point to a broken/private index.",Dependency/Environment Issue,Python,8,58
39,This is failing in my environment - what's the fix?,Docker container works on my machine but crashes with 'exec format error' on the deployment server.,"This means the image was built for a different CPU architecture than the server (commonly building on Apple Silicon/ARM and deploying to an x86_64 server, or vice versa). Rebuild with the correct target platform, e.g. `docker buildx build --platform linux/amd64 -t myimage .`, or use multi-platform builds so the image works on both architectures.",Dependency/Environment Issue,General,10,54
5,What's the best way to handle this situation? (python),What's wrong with using a bare `except:` clause?,"A bare `except:` catches everything, including `KeyboardInterrupt` and `SystemExit`, and hides the real exception type and traceback, making debugging much harder and potentially masking serious bugs. Catch specific exception classes instead (`except ValueError:`, `except (IOError, OSError):`), and if you truly need a catch-all, use `except Exception as e:` and log `e` with `logging.exception()`.",Exception Handling Guidance,Python,9,53
37,Review this database query for issues: (SQL),"SELECT customer_id, COUNT(*) FROM orders GROUP BY customer_id HAVING COUNT(*) > 5 WHERE status = 'active';","`WHERE` cannot appear after `HAVING` - `WHERE` filters rows before grouping and must come before `GROUP BY`, while `HAVING` filters after aggregation. Correct order: `SELECT customer_id, COUNT(*) FROM orders WHERE status = 'active' GROUP BY customer_id HAVING COUNT(*) > 5;`",Database/SQL Debugging,SQL,7,40
104,"I'm getting the following error, what's causing it? (JavaScript)","TypeError: Cannot read properties of undefined (reading 'map')
 at renderList (app.js:34)","You are calling `.map()` on a variable that is `undefined` at the time `renderList` runs, most likely because the array is still being fetched asynchronously. Add a guard such as `if (!items) return null;` before the `.map()` call, or default the prop to an empty array, e.g. `items = []`.",Error Explanation,JavaScript,9,50
112,What's a systematic approach to debugging a hard-to-reproduce production bug?,,"1) Reproduce reliably first - gather logs, stack traces, and the exact input/environment; 2) form a hypothesis about the cause rather than guessing randomly; 3) add targeted logging or use a debugger to inspect state at the suspected point; 4) use binary search / bisection (git bisect, or disabling half the code path) to narrow down where the bug was introduced; 5) write a minimal reproduction case; 6) fix the root cause, not just the symptom; 7) add a regression test so it cannot silently reappear.",Debugging Methodology,General,10,86
49,How can git bisect help find which commit introduced a bug?,,"`git bisect start`, then mark a known-bad commit with `git bisect bad` and a known-good commit with `git bisect good `. Git checks out a commit halfway between them; you test it and mark it `good` or `bad`, and git repeats the binary search until it identifies the exact commit that introduced the regression. You can automate this with `git bisect run ` if you have a script that exits non-zero on failure.",Debugging Methodology,General,11,73
31,This function isn't working correctly. What's wrong and how do I fix it? (Java),"for (int i = 0; i < list.size(); i++) {
 if (list.get(i).equals(target)) {
 list.remove(i);
 }
}","Removing elements from a `List` while iterating by index causes elements to shift, so the loop can skip the element right after a removal. Iterate backwards, or use `Iterator.remove()`:
```java
Iterator it = list.iterator();
while (it.hasNext()) {
 if (it.next().equals(target)) {
 it.remove();
 }
}
```",Bug Fix / Code Correction,Java,14,44
83,Something is off with this logic - can you spot it? (Java),"if (age >= 13 && age = 12 && age <= 17) {
 category = ""minor"";
}","The two age ranges overlap (13-17 falls in both branches), and because `age >= 13 && age <= 19` is checked first, anyone 12-17 who should also match ""minor"" is always classified as ""teen"" instead - the second branch becomes partially unreachable. Redefine the ranges so they are mutually exclusive, e.g. minor = 0-12, teen = 13-19.",Logic Error Diagnosis,Java,12,57
43,Diagnose the logic error in the following: (JavaScript),"function isPalindrome(str) {
 return str === str.split('').reverse();
}","`str.split('').reverse()` returns an array, and comparing a string to an array with `===` is always false. Join the reversed array back into a string before comparing: `return str === str.split('').reverse().join('');`",Logic Error Diagnosis,JavaScript,8,30
86,This function isn't working correctly. What's wrong and how do I fix it? (Python),"def get_config(overrides={}):
 overrides['env'] = 'prod'
 return overrides","Using a mutable default argument (`{}`) is a classic Python bug: the same dict object is reused across every call and keeps accumulating changes. Use `None` as the default and create a new dict inside the function:
```python
def get_config(overrides=None):
 overrides = dict(overrides) if overrides else {}
 overrides['env'] = 'prod'
 return overrides
```",Bug Fix / Code Correction,Python,14,53
44,"What's wrong with this SQL, and how should I fix it? (Python)","conn = sqlite3.connect('app.db')
for user_id in user_ids:
 cur = conn.execute(f""SELECT * FROM users WHERE id = {user_id}"")","Building SQL with an f-string is a SQL-injection vulnerability and also causes query-plan-cache misses since each query string is unique. Use parameterized queries: `conn.execute(""SELECT * FROM users WHERE id = ?"", (user_id,))`. This is safer and lets the database reuse the prepared statement plan.",Database/SQL Debugging,Python,12,44
55,I'm running into this environment/dependency issue: (Python),ModuleNotFoundError: No module named 'requests',"The `requests` package is not installed in the Python environment currently running your script. Install it with `pip install requests`, and if you use virtual environments, make sure the venv is activated before installing/running (`source venv/bin/activate`). If it's installed but still not found, check `which python` and `pip show requests` to confirm they point to the same environment.",Dependency/Environment Issue,Python,7,58
